Productid,ProductName,Approxweight,SellStartYear,SellStartMonth
680,"HL ROAD FRAME - BLACK, 58",1016.00,2002,June
706,"HL ROAD FRAME - RED, 58",1016.00,2002,June
707,"SPORT-100 HELMET, RED",,2005,July
708,"SPORT-100 HELMET, BLACK",,2005,July
709,"MOUNTAIN BIKE SOCKS, M",,2005,July
710,"MOUNTAIN BIKE SOCKS, L",,2005,July
711,"SPORT-100 HELMET, BLUE",,2005,July
712,AWC LOGO CAP,,2005,July
713,"LONG-SLEEVE LOGO JERSEY, S",,2005,July
714,"LONG-SLEEVE LOGO JERSEY, M",,2005,July
715,"LONG-SLEEVE LOGO JERSEY, L",,2005,July
716,"LONG-SLEEVE LOGO JERSEY, XL",,2005,July
717,"HL ROAD FRAME - RED, 62",1043.00,2005,July
718,"HL ROAD FRAME - RED, 44",962.00,2005,July
719,"HL ROAD FRAME - RED, 48",980.00,2005,July
720,"HL ROAD FRAME - RED, 52",998.00,2005,July
721,"HL ROAD FRAME - RED, 56",1016.00,2005,July
722,"LL ROAD FRAME - BLACK, 58",1116.00,2005,July
723,"LL ROAD FRAME - BLACK, 60",1125.00,2005,July
724,"LL ROAD FRAME - BLACK, 62",1134.00,2005,July
725,"LL ROAD FRAME - RED, 44",1052.00,2005,July
726,"LL ROAD FRAME - RED, 48",1070.00,2005,July
727,"LL ROAD FRAME - RED, 52",1089.00,2005,July
728,"LL ROAD FRAME - RED, 58",1116.00,2005,July
729,"LL ROAD FRAME - RED, 60",1125.00,2005,July
730,"LL ROAD FRAME - RED, 62",1134.00,2005,July
731,"ML ROAD FRAME - RED, 44",1007.00,2005,July
732,"ML ROAD FRAME - RED, 48",1025.00,2005,July
733,"ML ROAD FRAME - RED, 52",1043.00,2005,July
734,"ML ROAD FRAME - RED, 58",1070.00,2005,July
735,"ML ROAD FRAME - RED, 60",1080.00,2005,July
736,"LL ROAD FRAME - BLACK, 44",1052.00,2005,July
737,"LL ROAD FRAME - BLACK, 48",1070.00,2005,July
738,"LL ROAD FRAME - BLACK, 52",1089.00,2005,July
739,"HL MOUNTAIN FRAME - SILVER, 42",1234.00,2005,July
740,"HL MOUNTAIN FRAME - SILVER, 44",1252.00,2005,July
741,"HL MOUNTAIN FRAME - SILVER, 48",1270.00,2005,July
742,"HL MOUNTAIN FRAME - SILVER, 46",1288.00,2005,July
743,"HL MOUNTAIN FRAME - BLACK, 42",1234.00,2005,July
744,"HL MOUNTAIN FRAME - BLACK, 44",1252.00,2005,July
745,"HL MOUNTAIN FRAME - BLACK, 48",1270.00,2005,July
746,"HL MOUNTAIN FRAME - BLACK, 46",1288.00,2005,July
747,"HL MOUNTAIN FRAME - BLACK, 38",1216.00,2005,July
748,"HL MOUNTAIN FRAME - SILVER, 38",1216.00,2005,July
749,"ROAD-150 RED, 62",6804.00,2005,July
750,"ROAD-150 RED, 44",6246.00,2005,July
751,"ROAD-150 RED, 48",6409.00,2005,July
752,"ROAD-150 RED, 52",6541.00,2005,July
753,"ROAD-150 RED, 56",6659.00,2005,July
754,"ROAD-450 RED, 58",8069.00,2005,July
755,"ROAD-450 RED, 60",8119.00,2005,July
756,"ROAD-450 RED, 44",7607.00,2005,July
757,"ROAD-450 RED, 48",7770.00,2005,July
758,"ROAD-450 RED, 52",7902.00,2005,July
759,"ROAD-650 RED, 58",8977.00,2005,July
760,"ROAD-650 RED, 60",9026.00,2005,July
761,"ROAD-650 RED, 62",9072.00,2005,July
762,"ROAD-650 RED, 44",8514.00,2005,July
763,"ROAD-650 RED, 48",8677.00,2005,July
764,"ROAD-650 RED, 52",8809.00,2005,July
765,"ROAD-650 BLACK, 58",8977.00,2005,July
766,"ROAD-650 BLACK, 60",9026.00,2005,July
767,"ROAD-650 BLACK, 62",9072.00,2005,July
768,"ROAD-650 BLACK, 44",8514.00,2005,July
769,"ROAD-650 BLACK, 48",8677.00,2005,July
770,"ROAD-650 BLACK, 52",8809.00,2005,July
771,"MOUNTAIN-100 SILVER, 38",9231.00,2005,July
772,"MOUNTAIN-100 SILVER, 42",9421.00,2005,July
773,"MOUNTAIN-100 SILVER, 44",9584.00,2005,July
774,"MOUNTAIN-100 SILVER, 48",9716.00,2005,July
775,"MOUNTAIN-100 BLACK, 38",9231.00,2005,July
776,"MOUNTAIN-100 BLACK, 42",9421.00,2005,July
777,"MOUNTAIN-100 BLACK, 44",9584.00,2005,July
778,"MOUNTAIN-100 BLACK, 48",9716.00,2005,July
779,"MOUNTAIN-200 SILVER, 38",10591.00,2006,July
780,"MOUNTAIN-200 SILVER, 42",10782.00,2006,July
781,"MOUNTAIN-200 SILVER, 46",10945.00,2006,July
782,"MOUNTAIN-200 BLACK, 38",10591.00,2006,July
783,"MOUNTAIN-200 BLACK, 42",10782.00,2006,July
784,"MOUNTAIN-200 BLACK, 46",10945.00,2006,July
785,"MOUNTAIN-300 BLACK, 38",11499.00,2006,July
786,"MOUNTAIN-300 BLACK, 40",11689.00,2006,July
787,"MOUNTAIN-300 BLACK, 44",11852.00,2006,July
788,"MOUNTAIN-300 BLACK, 48",11984.00,2006,July
789,"ROAD-250 RED, 44",6700.00,2006,July
790,"ROAD-250 RED, 48",6863.00,2006,July
791,"ROAD-250 RED, 52",6994.00,2006,July
792,"ROAD-250 RED, 58",7162.00,2006,July
793,"ROAD-250 BLACK, 44",6700.00,2006,July
794,"ROAD-250 BLACK, 48",6863.00,2006,July
795,"ROAD-250 BLACK, 52",6994.00,2006,July
796,"ROAD-250 BLACK, 58",7112.00,2006,July
797,"ROAD-550-W YELLOW, 38",7870.00,2006,July
798,"ROAD-550-W YELLOW, 40",8060.00,2006,July
799,"ROAD-550-W YELLOW, 42",8224.00,2006,July
800,"ROAD-550-W YELLOW, 44",8355.00,2006,July
801,"ROAD-550-W YELLOW, 48",8473.00,2006,July
802,LL FORK,,2006,July
803,ML FORK,,2006,July
804,HL FORK,,2006,July
805,LL HEADSET,,2006,July
806,ML HEADSET,,2006,July
807,HL HEADSET,,2006,July
808,LL MOUNTAIN HANDLEBARS,,2006,July
809,ML MOUNTAIN HANDLEBARS,,2006,July
810,HL MOUNTAIN HANDLEBARS,,2006,July
811,LL ROAD HANDLEBARS,,2006,July
812,ML ROAD HANDLEBARS,,2006,July
813,HL ROAD HANDLEBARS,,2006,July
814,"ML MOUNTAIN FRAME - BLACK, 38",1238.00,2006,July
815,LL MOUNTAIN FRONT WHEEL,,2006,July
816,ML MOUNTAIN FRONT WHEEL,,2006,July
817,HL MOUNTAIN FRONT WHEEL,,2006,July
818,LL ROAD FRONT WHEEL,900.00,2006,July
819,ML ROAD FRONT WHEEL,850.00,2006,July
820,HL ROAD FRONT WHEEL,650.00,2006,July
821,TOURING FRONT WHEEL,,2006,July
822,"ML ROAD FRAME-W - YELLOW, 38",989.00,2006,July
823,LL MOUNTAIN REAR WHEEL,,2006,July
824,ML MOUNTAIN REAR WHEEL,,2006,July
825,HL MOUNTAIN REAR WHEEL,,2006,July
826,LL ROAD REAR WHEEL,1050.00,2006,July
827,ML ROAD REAR WHEEL,1000.00,2006,July
828,HL ROAD REAR WHEEL,890.00,2006,July
829,TOURING REAR WHEEL,,2006,July
830,"ML MOUNTAIN FRAME - BLACK, 40",1256.00,2006,July
831,"ML MOUNTAIN FRAME - BLACK, 44",1275.00,2006,July
832,"ML MOUNTAIN FRAME - BLACK, 48",1293.00,2006,July
833,"ML ROAD FRAME-W - YELLOW, 40",1007.00,2006,July
834,"ML ROAD FRAME-W - YELLOW, 42",1025.00,2006,July
835,"ML ROAD FRAME-W - YELLOW, 44",1043.00,2006,July
836,"ML ROAD FRAME-W - YELLOW, 48",1061.00,2006,July
837,"HL ROAD FRAME - BLACK, 62",1043.00,2006,July
838,"HL ROAD FRAME - BLACK, 44",962.00,2006,July
839,"HL ROAD FRAME - BLACK, 48",980.00,2006,July
840,"HL ROAD FRAME - BLACK, 52",998.00,2006,July
841,"MEN'S SPORTS SHORTS, S",,2006,July
842,"TOURING-PANNIERS, LARGE",,2006,July
843,CABLE LOCK,,2006,July
844,MINIPUMP,,2006,July
845,MOUNTAIN PUMP,,2006,July
846,TAILLIGHTS - BATTERY-POWERED,,2006,July
847,HEADLIGHTS - DUAL-BEAM,,2006,July
848,HEADLIGHTS - WEATHERPROOF,,2006,July
849,"MEN'S SPORTS SHORTS, M",,2006,July
850,"MEN'S SPORTS SHORTS, L",,2006,July
851,"MEN'S SPORTS SHORTS, XL",,2006,July
852,"WOMEN'S TIGHTS, S",,2006,July
853,"WOMEN'S TIGHTS, M",,2006,July
854,"WOMEN'S TIGHTS, L",,2006,July
855,"MEN'S BIB-SHORTS, S",,2006,July
856,"MEN'S BIB-SHORTS, M",,2006,July
857,"MEN'S BIB-SHORTS, L",,2006,July
858,"HALF-FINGER GLOVES, S",,2006,July
859,"HALF-FINGER GLOVES, M",,2006,July
860,"HALF-FINGER GLOVES, L",,2006,July
861,"FULL-FINGER GLOVES, S",,2006,July
862,"FULL-FINGER GLOVES, M",,2006,July
863,"FULL-FINGER GLOVES, L",,2006,July
864,"CLASSIC VEST, S",,2007,July
865,"CLASSIC VEST, M",,2007,July
866,"CLASSIC VEST, L",,2007,July
867,"WOMEN'S MOUNTAIN SHORTS, S",,2007,July
868,"WOMEN'S MOUNTAIN SHORTS, M",,2007,July
869,"WOMEN'S MOUNTAIN SHORTS, L",,2007,July
870,WATER BOTTLE - 30 OZ.,,2007,July
871,MOUNTAIN BOTTLE CAGE,,2007,July
872,ROAD BOTTLE CAGE,,2007,July
873,PATCH KIT/8 PATCHES,,2007,July
874,"RACING SOCKS, M",,2007,July
875,"RACING SOCKS, L",,2007,July
876,HITCH RACK - 4-BIKE,,2007,July
877,BIKE WASH - DISSOLVER,,2007,July
878,FENDER SET - MOUNTAIN,,2007,July
879,ALL-PURPOSE BIKE STAND,,2007,July
880,HYDRATION PACK - 70 OZ.,,2007,July
881,"SHORT-SLEEVE CLASSIC JERSEY, S",,2007,July
882,"SHORT-SLEEVE CLASSIC JERSEY, M",,2007,July
883,"SHORT-SLEEVE CLASSIC JERSEY, L",,2007,July
884,"SHORT-SLEEVE CLASSIC JERSEY, XL",,2007,July
885,"HL TOURING FRAME - YELLOW, 60",1397.00,2007,July
886,"LL TOURING FRAME - YELLOW, 62",1451.00,2007,July
887,"HL TOURING FRAME - YELLOW, 46",1343.00,2007,July
888,"HL TOURING FRAME - YELLOW, 50",1361.00,2007,July
889,"HL TOURING FRAME - YELLOW, 54",1379.00,2007,July
890,"HL TOURING FRAME - BLUE, 46",1343.00,2007,July
891,"HL TOURING FRAME - BLUE, 50",1361.00,2007,July
892,"HL TOURING FRAME - BLUE, 54",1379.00,2007,July
893,"HL TOURING FRAME - BLUE, 60",1397.00,2007,July
894,REAR DERAILLEUR,215.00,2007,July
895,"LL TOURING FRAME - BLUE, 50",1406.00,2007,July
896,"LL TOURING FRAME - BLUE, 54",1424.00,2007,July
897,"LL TOURING FRAME - BLUE, 58",1433.00,2007,July
898,"LL TOURING FRAME - BLUE, 62",1451.00,2007,July
899,"LL TOURING FRAME - YELLOW, 44",1370.00,2007,July
900,"LL TOURING FRAME - YELLOW, 50",1406.00,2007,July
901,"LL TOURING FRAME - YELLOW, 54",1424.00,2007,July
902,"LL TOURING FRAME - YELLOW, 58",1433.00,2007,July
903,"LL TOURING FRAME - BLUE, 44",1370.00,2007,July
904,"ML MOUNTAIN FRAME-W - SILVER, 40",1256.00,2007,July
905,"ML MOUNTAIN FRAME-W - SILVER, 42",1275.00,2007,July
906,"ML MOUNTAIN FRAME-W - SILVER, 46",1293.00,2007,July
907,REAR BRAKES,317.00,2007,July
908,LL MOUNTAIN SEAT/SADDLE,,2007,July
909,ML MOUNTAIN SEAT/SADDLE,,2007,July
910,HL MOUNTAIN SEAT/SADDLE,,2007,July
911,LL ROAD SEAT/SADDLE,,2007,July
912,ML ROAD SEAT/SADDLE,,2007,July
913,HL ROAD SEAT/SADDLE,,2007,July
914,LL TOURING SEAT/SADDLE,,2007,July
915,ML TOURING SEAT/SADDLE,,2007,July
916,HL TOURING SEAT/SADDLE,,2007,July
917,"LL MOUNTAIN FRAME - SILVER, 42",1324.00,2007,July
918,"LL MOUNTAIN FRAME - SILVER, 44",1343.00,2007,July
919,"LL MOUNTAIN FRAME - SILVER, 48",1361.00,2007,July
920,"LL MOUNTAIN FRAME - SILVER, 52",1379.00,2007,July
921,MOUNTAIN TIRE TUBE,,2007,July
922,ROAD TIRE TUBE,,2007,July
923,TOURING TIRE TUBE,,2007,July
924,"LL MOUNTAIN FRAME - BLACK, 42",1324.00,2007,July
925,"LL MOUNTAIN FRAME - BLACK, 44",1343.00,2007,July
926,"LL MOUNTAIN FRAME - BLACK, 48",1361.00,2007,July
927,"LL MOUNTAIN FRAME - BLACK, 52",1379.00,2007,July
928,LL MOUNTAIN TIRE,,2007,July
929,ML MOUNTAIN TIRE,,2007,July
930,HL MOUNTAIN TIRE,,2007,July
931,LL ROAD TIRE,,2007,July
932,ML ROAD TIRE,,2007,July
933,HL ROAD TIRE,,2007,July
934,TOURING TIRE,,2007,July
935,LL MOUNTAIN PEDAL,218.00,2007,July
936,ML MOUNTAIN PEDAL,215.00,2007,July
937,HL MOUNTAIN PEDAL,185.00,2007,July
938,LL ROAD PEDAL,189.00,2007,July
939,ML ROAD PEDAL,168.00,2007,July
940,HL ROAD PEDAL,149.00,2007,July
941,TOURING PEDAL,,2007,July
942,"ML MOUNTAIN FRAME-W - SILVER, 38",1238.00,2007,July
943,"LL MOUNTAIN FRAME - BLACK, 40",1306.00,2007,July
944,"LL MOUNTAIN FRAME - SILVER, 40",1306.00,2007,July
945,FRONT DERAILLEUR,88.00,2007,July
946,LL TOURING HANDLEBARS,,2007,July
947,HL TOURING HANDLEBARS,,2007,July
948,FRONT BRAKES,317.00,2007,July
949,LL CRANKSET,600.00,2007,July
950,ML CRANKSET,635.00,2007,July
951,HL CRANKSET,575.00,2007,July
952,CHAIN,,2007,July
953,"TOURING-2000 BLUE, 60",12655.00,2007,July
954,"TOURING-1000 YELLOW, 46",11399.00,2007,July
955,"TOURING-1000 YELLOW, 50",11530.00,2007,July
956,"TOURING-1000 YELLOW, 54",11648.00,2007,July
957,"TOURING-1000 YELLOW, 60",11748.00,2007,July
958,"TOURING-3000 BLUE, 54",13463.00,2007,July
959,"TOURING-3000 BLUE, 58",13562.00,2007,July
960,"TOURING-3000 BLUE, 62",13608.00,2007,July
961,"TOURING-3000 YELLOW, 44",13050.00,2007,July
962,"TOURING-3000 YELLOW, 50",13213.00,2007,July
963,"TOURING-3000 YELLOW, 54",13345.00,2007,July
964,"TOURING-3000 YELLOW, 58",13512.00,2007,July
965,"TOURING-3000 YELLOW, 62",13608.00,2007,July
966,"TOURING-1000 BLUE, 46",11399.00,2007,July
967,"TOURING-1000 BLUE, 50",11530.00,2007,July
968,"TOURING-1000 BLUE, 54",11648.00,2007,July
969,"TOURING-1000 BLUE, 60",11748.00,2007,July
970,"TOURING-2000 BLUE, 46",12306.00,2007,July
971,"TOURING-2000 BLUE, 50",12437.00,2007,July
972,"TOURING-2000 BLUE, 54",12555.00,2007,July
973,"ROAD-350-W YELLOW, 40",6963.00,2007,July
974,"ROAD-350-W YELLOW, 42",7153.00,2007,July
975,"ROAD-350-W YELLOW, 44",7316.00,2007,July
976,"ROAD-350-W YELLOW, 48",7448.00,2007,July
977,"ROAD-750 BLACK, 58",9430.00,2007,July
978,"TOURING-3000 BLUE, 44",13050.00,2007,July
979,"TOURING-3000 BLUE, 50",13213.00,2007,July
980,"MOUNTAIN-400-W SILVER, 38",11952.00,2007,July
981,"MOUNTAIN-400-W SILVER, 40",12143.00,2007,July
982,"MOUNTAIN-400-W SILVER, 42",12306.00,2007,July
983,"MOUNTAIN-400-W SILVER, 46",12437.00,2007,July
984,"MOUNTAIN-500 SILVER, 40",12406.00,2007,July
985,"MOUNTAIN-500 SILVER, 42",12596.00,2007,July
986,"MOUNTAIN-500 SILVER, 44",12759.00,2007,July
987,"MOUNTAIN-500 SILVER, 48",12891.00,2007,July
988,"MOUNTAIN-500 SILVER, 52",13009.00,2007,July
989,"MOUNTAIN-500 BLACK, 40",12406.00,2007,July
990,"MOUNTAIN-500 BLACK, 42",12596.00,2007,July
991,"MOUNTAIN-500 BLACK, 44",12759.00,2007,July
992,"MOUNTAIN-500 BLACK, 48",12891.00,2007,July
993,"MOUNTAIN-500 BLACK, 52",13009.00,2007,July
994,LL BOTTOM BRACKET,223.00,2007,July
995,ML BOTTOM BRACKET,168.00,2007,July
996,HL BOTTOM BRACKET,170.00,2007,July
997,"ROAD-750 BLACK, 44",8967.00,2007,July
998,"ROAD-750 BLACK, 48",9131.00,2007,July
999,"ROAD-750 BLACK, 52",9262.00,2007,July