Name,weight
"Touring-3000 Blue, 62",13607.70
"Touring-3000 Yellow, 62",13607.70
"Touring-3000 Blue, 58",13562.34
"Touring-3000 Yellow, 58",13512.45
"Touring-3000 Blue, 54",13462.55
"Touring-3000 Yellow, 54",13344.62
"Touring-3000 Yellow, 50",13213.08
"Touring-3000 Blue, 50",13213.08
"Touring-3000 Blue, 44",13049.78
"Touring-3000 Yellow, 44",13049.78
"Mountain-500 Silver, 52",13008.96
"Mountain-500 Black, 52",13008.96
"Mountain-500 Black, 48",12891.03
"Mountain-500 Silver, 48",12891.03
"Mountain-500 Silver, 44",12759.49
"Mountain-500 Black, 44",12759.49
"Touring-2000 Blue, 60",12655.16
"Mountain-500 Black, 42",12596.19
"Mountain-500 Silver, 42",12596.19
"Touring-2000 Blue, 54",12555.37
"Touring-2000 Blue, 50",12437.44
"Mountain-400-W Silver, 46",12437.44
"Mountain-500 Silver, 40",12405.69
"Mountain-500 Black, 40",12405.69
"Mountain-400-W Silver, 42",12305.90
"Touring-2000 Blue, 46",12305.90
"Mountain-400-W Silver, 40",12142.60
"Mountain-300 Black, 48",11983.85
"Mountain-400-W Silver, 38",11952.10
"Mountain-300 Black, 44",11852.31